date-time,ANN1,ANN2,ANN3,ANN4,ANN5
14/03/2024 22:43:01,32,32,32,32,31
14/03/2024 22:43:03,30,31,31,30,31
14/03/2024 22:43:05,32,32,32,32,32
14/03/2024 22:43:08,31,30,31,32,31
14/03/2024 22:43:10,32,32,31,32,31
14/03/2024 22:43:12,32,32,32,32,32
14/03/2024 22:43:15,31,29,31,29,30
14/03/2024 22:43:17,31,31,31,31,30
14/03/2024 22:43:19,30,31,30,30,31
14/03/2024 22:43:21,31,31,31,31,31
14/03/2024 22:43:23,31,32,31,31,31
14/03/2024 22:43:26,31,31,31,31,31
14/03/2024 22:43:28,32,30,32,32,32
14/03/2024 22:43:30,30,30,31,30,30
14/03/2024 22:43:32,28,29,30,29,29
14/03/2024 22:43:34,31,31,31,31,31
14/03/2024 22:43:37,32,32,30,32,32
14/03/2024 22:43:39,31,31,31,31,31
14/03/2024 22:43:42,28,30,30,30,30
14/03/2024 22:43:44,29,29,30,30,30
14/03/2024 22:43:46,27,28,28,27,28
14/03/2024 22:43:48,30,30,30,30,30
14/03/2024 22:43:50,32,32,32,32,32
14/03/2024 22:43:53,29,28,29,30,31
14/03/2024 22:43:55,30,32,32,30,30
14/03/2024 22:43:57,29,30,29,30,30
14/03/2024 22:43:59,27,28,28,28,29
14/03/2024 22:44:01,32,32,31,32,32
14/03/2024 22:44:03,30,31,31,30,32
14/03/2024 22:44:06,32,31,31,32,32
14/03/2024 22:44:08,31,31,31,31,31
14/03/2024 22:44:10,28,29,29,27,28
14/03/2024 22:44:12,31,31,31,31,31
14/03/2024 22:44:15,31,30,31,31,31
14/03/2024 22:44:17,31,32,32,31,32
14/03/2024 22:44:19,31,32,31,32,32
14/03/2024 22:44:21,32,31,31,31,30
14/03/2024 22:44:24,30,31,30,31,30
14/03/2024 22:44:26,31,30,30,30,30
14/03/2024 22:44:28,31,31,31,31,31
14/03/2024 22:44:30,32,32,31,32,32
14/03/2024 22:44:33,30,31,31,30,31
14/03/2024 22:44:35,32,32,32,32,32
14/03/2024 22:44:38,28,29,28,28,29
14/03/2024 22:44:40,31,31,31,31,31
14/03/2024 22:44:42,30,30,30,30,30
14/03/2024 22:44:44,31,31,31,30,31
14/03/2024 22:44:47,31,31,31,31,31
14/03/2024 22:44:49,30,32,32,30,31
14/03/2024 22:44:51,31,31,31,31,31
14/03/2024 22:44:53,31,30,30,31,31
14/03/2024 22:44:56,29,30,30,30,31
14/03/2024 22:44:58,29,28,30,31,29
14/03/2024 22:45:01,28,27,29,30,29
14/03/2024 22:45:03,30,30,30,30,30
14/03/2024 22:45:05,32,31,31,31,32
14/03/2024 22:45:07,30,30,30,30,30
14/03/2024 22:45:10,31,31,31,31,30
14/03/2024 22:45:12,31,31,31,31,31
14/03/2024 22:45:14,32,32,32,32,32
14/03/2024 22:45:17,31,32,32,31,31
14/03/2024 22:45:19,32,32,32,32,32
14/03/2024 22:45:21,30,31,31,31,31
14/03/2024 22:45:23,30,30,29,30,29
