date-time,RF1,RF2,RF3,RF4,ANN1,ANN2,ANN3,ANN4,ANN5
21/03/2024 08:46:14,40,40,40,40,40,40,39,40,40
21/03/2024 08:46:16,37,36,38,37,35,37,36,37,38
21/03/2024 08:46:19,38,40,36,38,36,35,36,35,37
21/03/2024 08:46:22,39,40,39,39,38,37,38,37,39
21/03/2024 08:46:24,40,40,40,39,40,40,40,39,40
21/03/2024 08:46:27,39,39,39,39,40,40,40,39,40
21/03/2024 08:46:30,38,38,38,38,39,38,39,39,39
21/03/2024 08:46:32,38,37,38,37,37,37,37,38,38
21/03/2024 08:46:35,40,40,38,40,40,38,38,37,38
21/03/2024 08:46:37,39,39,39,39,39,39,39,39,39
21/03/2024 08:46:40,38,36,37,37,37,38,38,38,37
21/03/2024 08:46:43,40,40,40,40,40,40,40,39,40
21/03/2024 08:46:45,38,39,39,38,37,39,39,39,39
21/03/2024 08:46:48,36,35,35,36,35,36,35,33,35
21/03/2024 08:46:50,37,37,38,37,38,38,39,39,38
21/03/2024 08:46:52,38,38,38,38,37,39,38,38,38
21/03/2024 08:46:55,38,36,37,38,38,39,39,39,39
21/03/2024 08:46:58,37,39,38,38,39,40,40,39,40
21/03/2024 08:47:00,39,38,37,37,38,37,37,37,38
21/03/2024 08:47:03,39,40,39,39,40,40,39,39,40
21/03/2024 08:47:05,39,39,38,39,39,39,39,39,39
21/03/2024 08:47:08,40,40,40,39,40,40,40,40,40
21/03/2024 08:47:10,38,38,37,38,39,39,39,39,39
21/03/2024 08:47:13,40,39,37,37,37,37,38,38,39
21/03/2024 08:47:15,36,38,37,36,35,36,35,35,35
21/03/2024 08:47:18,39,39,38,39,39,39,39,39,39
21/03/2024 08:47:21,38,38,38,38,36,36,36,36,36
21/03/2024 08:47:24,38,38,38,38,40,39,39,40,40
21/03/2024 08:47:26,39,38,39,38,37,37,37,37,37
21/03/2024 08:47:29,37,38,37,38,38,37,37,37,38
21/03/2024 08:47:31,37,36,36,37,40,40,40,40,40
21/03/2024 08:47:33,36,36,36,36,34,34,35,36,35
21/03/2024 08:47:36,37,37,37,37,36,36,36,36,36
21/03/2024 08:47:38,37,37,37,38,39,39,39,39,38
21/03/2024 08:47:41,39,39,39,39,40,40,40,40,40
21/03/2024 08:47:43,38,38,37,37,40,40,39,39,39
21/03/2024 08:47:46,36,38,36,37,37,37,38,37,38
21/03/2024 08:47:48,37,37,37,37,36,36,37,37,37
21/03/2024 08:47:51,40,39,40,40,40,40,40,40,40
21/03/2024 08:47:53,39,39,38,38,38,37,38,37,37
21/03/2024 08:47:56,40,40,40,40,40,40,40,40,40
21/03/2024 08:47:59,39,38,40,39,37,36,37,38,37
21/03/2024 08:48:01,40,40,40,40,40,40,40,39,40
21/03/2024 08:48:04,37,37,37,37,39,39,39,39,38
21/03/2024 08:48:06,39,39,39,39,37,38,38,38,38
21/03/2024 08:48:09,39,39,38,38,38,38,39,39,38
21/03/2024 08:48:12,36,38,36,37,37,37,37,38,38
21/03/2024 08:48:14,37,37,38,37,37,37,38,37,38
21/03/2024 08:48:17,38,37,38,36,38,38,38,38,38
21/03/2024 08:48:20,38,38,38,38,40,40,40,40,40
21/03/2024 08:48:23,38,38,38,38,40,38,39,40,39
21/03/2024 08:48:26,35,35,35,34,35,34,34,34,34
21/03/2024 08:48:29,38,39,37,39,40,40,39,39,40
21/03/2024 08:48:32,37,37,37,37,36,36,36,36,38
21/03/2024 08:48:37,39,37,39,39,39,39,39,39,39
21/03/2024 08:48:39,36,37,36,37,37,37,37,37,36
21/03/2024 08:48:42,37,36,38,37,38,39,38,39,39
21/03/2024 08:48:45,40,40,39,40,39,40,39,39,39
21/03/2024 08:48:48,40,39,40,40,39,40,40,40,40
21/03/2024 08:48:51,39,39,38,39,39,39,40,40,40
21/03/2024 08:48:54,38,38,37,38,37,37,37,38,38
21/03/2024 08:48:57,39,39,39,40,40,39,40,39,40
21/03/2024 08:49:00,40,40,40,38,40,40,40,39,40
21/03/2024 08:49:03,38,37,36,38,39,39,39,39,39
21/03/2024 08:49:05,39,38,40,39,39,39,39,39,39
21/03/2024 08:49:08,38,38,38,38,37,37,37,37,35
21/03/2024 08:49:11,39,38,39,37,38,38,38,39,39
21/03/2024 08:49:13,40,39,40,40,40,40,40,40,40
21/03/2024 08:49:16,38,38,38,38,39,39,39,39,39
21/03/2024 08:49:19,39,39,39,39,39,39,40,39,39
21/03/2024 08:49:22,40,40,39,40,39,40,40,40,39
21/03/2024 08:49:24,39,39,39,39,40,39,39,38,40
21/03/2024 08:49:27,38,36,37,36,37,37,38,37,38
21/03/2024 08:49:29,38,38,38,38,38,37,38,37,38
21/03/2024 08:49:32,39,39,38,39,40,40,40,39,40
21/03/2024 08:49:34,38,38,38,38,40,40,40,39,40
21/03/2024 08:49:37,39,39,39,39,39,39,39,39,39
21/03/2024 08:49:39,39,40,39,38,40,40,39,39,39
21/03/2024 08:49:42,38,38,37,36,37,37,38,38,37
21/03/2024 08:49:44,38,39,39,39,40,40,40,40,40
21/03/2024 08:49:47,37,37,37,36,38,38,37,38,37
21/03/2024 08:49:49,38,38,37,38,37,37,37,37,37
21/03/2024 08:49:52,39,40,39,39,38,39,40,40,39
21/03/2024 08:49:55,40,40,39,40,38,39,38,39,39
21/03/2024 08:49:57,38,38,38,38,39,39,37,39,38
21/03/2024 08:50:00,39,39,39,39,38,38,39,39,39
21/03/2024 08:50:02,36,36,35,36,37,37,37,38,37
21/03/2024 08:50:05,39,38,38,38,39,39,39,39,39
21/03/2024 08:50:07,36,37,37,37,37,38,37,38,38
21/03/2024 08:50:10,38,38,38,39,37,38,39,38,38
21/03/2024 08:50:12,38,37,36,37,37,37,38,38,39
21/03/2024 08:50:15,38,38,38,39,39,39,39,39,38
21/03/2024 08:50:18,39,38,38,38,38,39,37,39,39
21/03/2024 08:50:20,37,37,37,37,39,39,39,39,39
21/03/2024 08:50:23,39,37,38,39,37,37,37,37,37
21/03/2024 08:50:25,38,38,38,38,40,40,39,39,40
21/03/2024 08:50:28,39,39,38,37,40,40,40,40,39
21/03/2024 08:50:31,39,40,40,40,39,39,38,39,40
21/03/2024 08:50:33,38,38,38,38,36,38,38,38,37
21/03/2024 08:50:35,38,37,38,37,39,39,39,39,39
21/03/2024 08:50:38,39,39,39,39,40,40,40,40,40
21/03/2024 08:50:41,39,39,39,39,39,39,39,39,39
21/03/2024 08:50:43,39,39,39,39,39,40,40,40,40
21/03/2024 08:50:46,38,36,38,38,37,38,38,36,38
21/03/2024 08:50:48,40,40,40,40,39,39,40,40,40
21/03/2024 08:50:51,38,40,39,39,38,39,39,39,39
21/03/2024 08:50:54,38,38,38,38,40,40,39,40,39
21/03/2024 08:50:56,38,38,37,37,38,38,38,38,38
21/03/2024 08:50:59,36,37,37,37,37,36,36,36,36
21/03/2024 08:51:01,40,39,40,40,40,40,40,40,40
21/03/2024 08:51:04,40,40,40,40,40,40,40,39,40
21/03/2024 08:51:06,38,37,38,38,36,36,37,37,36
21/03/2024 08:51:09,40,40,40,40,40,40,40,40,40
21/03/2024 08:51:11,36,37,38,39,37,38,37,38,37
21/03/2024 08:51:14,40,39,39,39,39,39,39,39,39
21/03/2024 08:51:16,40,39,39,39,40,40,40,40,40
21/03/2024 08:51:19,38,37,38,38,38,38,38,38,38
21/03/2024 08:51:22,38,39,38,39,39,39,39,39,39
21/03/2024 08:51:25,38,39,39,39,40,39,40,39,40
21/03/2024 08:51:27,38,38,38,38,37,36,37,37,36
21/03/2024 08:51:29,39,39,38,38,38,39,39,37,39
21/03/2024 08:51:32,38,39,37,40,38,39,39,39,38
21/03/2024 08:51:35,40,39,39,39,39,39,39,39,40
21/03/2024 08:51:37,38,39,39,39,37,35,38,38,37
21/03/2024 08:51:40,39,39,38,39,39,38,39,38,39
21/03/2024 08:51:42,40,40,39,38,37,36,36,36,37
21/03/2024 08:51:45,38,40,39,39,38,38,39,37,39
21/03/2024 08:51:48,40,40,40,40,40,39,39,39,39
21/03/2024 08:51:50,39,39,39,39,40,40,40,40,40
21/03/2024 08:51:53,38,38,38,38,39,38,38,39,39
21/03/2024 08:51:55,40,39,40,37,39,39,39,39,39
21/03/2024 08:51:58,39,38,39,39,38,39,39,38,38
21/03/2024 08:52:00,36,36,36,36,40,40,40,40,39
21/03/2024 08:52:03,37,37,36,37,38,36,35,36,35
21/03/2024 08:52:06,38,38,39,38,40,39,40,40,40
21/03/2024 08:52:08,38,38,38,38,38,39,38,38,38
21/03/2024 08:52:11,38,36,37,36,39,39,39,39,39
21/03/2024 08:52:13,38,38,38,38,38,39,39,39,39
21/03/2024 08:52:16,37,38,37,37,37,39,38,38,39
21/03/2024 08:52:19,37,37,37,37,38,38,38,38,38
21/03/2024 08:52:21,39,38,38,39,39,39,39,39,39
21/03/2024 08:52:24,39,37,37,39,40,40,39,40,40
21/03/2024 08:52:27,38,39,38,38,40,39,39,39,39
21/03/2024 08:52:29,38,38,39,38,39,39,39,39,39
21/03/2024 08:52:32,38,38,39,38,39,38,39,39,38
21/03/2024 08:52:35,40,40,38,39,38,39,40,39,38
21/03/2024 08:52:37,37,39,38,38,39,39,39,39,39
21/03/2024 08:52:39,36,37,36,36,36,36,35,35,35
21/03/2024 08:52:42,37,39,39,38,37,39,38,37,39
21/03/2024 08:52:45,38,39,38,39,40,39,39,39,39
21/03/2024 08:52:47,38,38,38,38,39,38,39,40,38
21/03/2024 08:52:50,39,38,38,39,37,38,38,37,37
21/03/2024 08:52:52,38,37,37,37,38,39,39,39,38
21/03/2024 08:52:55,40,39,39,40,40,40,40,40,40
21/03/2024 08:52:57,36,36,37,36,38,37,37,37,37
21/03/2024 08:52:59,38,38,38,38,37,37,37,37,37
21/03/2024 08:53:02,39,39,39,37,39,39,38,38,38
21/03/2024 08:53:05,37,37,37,38,39,39,39,39,39
21/03/2024 08:53:07,38,38,38,38,37,38,38,38,38
21/03/2024 08:53:10,39,40,40,39,38,38,39,39,38
21/03/2024 08:53:12,38,39,39,39,40,40,40,40,40
21/03/2024 08:53:15,40,39,39,38,39,39,38,39,39
21/03/2024 08:53:18,38,38,39,38,39,38,39,38,38
21/03/2024 08:53:20,37,38,36,38,38,39,38,38,38
21/03/2024 08:53:23,38,39,39,39,40,39,40,39,40
21/03/2024 08:53:26,38,37,37,38,38,38,38,38,38
21/03/2024 08:53:28,38,38,38,38,40,39,39,40,40
21/03/2024 08:53:31,38,37,37,37,38,38,38,39,36
21/03/2024 08:53:34,38,38,38,39,39,39,39,39,38
21/03/2024 08:53:36,40,40,40,40,40,40,40,38,38
21/03/2024 08:53:39,37,37,38,37,38,37,37,37,38
21/03/2024 08:53:41,39,40,38,38,39,38,39,38,39
21/03/2024 08:53:44,38,38,38,38,39,38,38,39,39
21/03/2024 08:53:46,39,39,39,39,35,36,36,36,36
21/03/2024 08:53:49,38,39,38,37,37,38,38,37,37
21/03/2024 08:53:52,38,38,38,39,39,40,39,39,40
21/03/2024 08:53:54,36,36,36,35,37,37,37,37,37
21/03/2024 08:53:57,37,38,39,38,38,39,38,39,39
21/03/2024 08:53:59,38,38,38,37,39,39,40,39,40
21/03/2024 08:54:02,38,38,37,38,36,36,36,38,36
21/03/2024 08:54:04,38,39,39,38,40,40,40,39,40
21/03/2024 08:54:07,38,38,37,38,38,38,38,38,38
21/03/2024 08:54:10,40,39,39,39,40,40,40,40,40
21/03/2024 08:54:12,39,39,39,37,39,38,39,39,39
21/03/2024 08:54:15,38,38,38,38,39,38,39,39,39
21/03/2024 08:54:17,40,40,40,40,40,40,39,40,39
21/03/2024 08:54:20,38,37,37,38,37,37,37,37,37
21/03/2024 08:54:23,40,39,39,38,40,40,40,40,40
21/03/2024 08:54:25,39,39,39,39,40,40,40,40,40
21/03/2024 08:54:28,40,40,40,39,39,39,39,39,39
21/03/2024 08:54:31,38,37,37,37,39,39,39,39,39
21/03/2024 08:54:33,39,40,39,39,39,38,38,38,38
21/03/2024 08:54:36,38,38,38,36,36,36,36,37,37
21/03/2024 08:54:39,38,38,37,38,38,39,38,39,38
21/03/2024 08:54:41,38,39,39,39,39,39,38,39,39
21/03/2024 08:54:44,38,38,39,38,38,39,38,38,38
21/03/2024 08:54:46,40,39,40,38,40,40,40,40,40
21/03/2024 08:54:49,39,38,39,39,39,40,39,39,40
21/03/2024 08:54:51,39,39,39,39,38,40,40,40,40
21/03/2024 08:54:54,39,39,39,39,39,39,39,39,39
