date-time,ANN3,ANN4,ANN5
15/03/2024 21:09:31,31,30,29
15/03/2024 21:09:33,30,31,30
15/03/2024 21:09:34,31,30,31
15/03/2024 21:09:35,31,31,31
15/03/2024 21:09:37,31,31,31
15/03/2024 21:09:38,30,31,30
15/03/2024 21:09:39,31,30,29
15/03/2024 21:09:41,29,31,31
15/03/2024 21:09:42,29,31,30
15/03/2024 21:09:44,31,30,31
15/03/2024 21:09:45,31,30,29
15/03/2024 21:09:46,29,31,31
15/03/2024 21:09:48,31,29,31
15/03/2024 21:09:50,30,30,31
15/03/2024 21:09:51,30,29,31
15/03/2024 21:09:53,30,31,31
15/03/2024 21:09:56,31,31,31
15/03/2024 21:10:00,30,29,30
15/03/2024 21:10:04,31,29,31
15/03/2024 21:10:06,31,30,31
15/03/2024 21:10:08,29,31,32
15/03/2024 21:10:10,30,28,30
15/03/2024 21:10:11,29,30,30
15/03/2024 21:10:13,31,31,31
15/03/2024 21:10:14,28,31,30
15/03/2024 21:10:16,31,31,31
15/03/2024 21:10:18,30,29,31
15/03/2024 21:10:20,31,30,30
15/03/2024 21:10:22,31,31,31
15/03/2024 21:10:24,30,29,31
15/03/2024 21:10:26,30,31,30
15/03/2024 21:10:27,31,29,31
15/03/2024 21:10:30,31,30,31
15/03/2024 21:10:33,31,30,29
15/03/2024 21:10:35,31,30,31
15/03/2024 21:10:38,29,32,31
15/03/2024 21:10:41,29,31,29
15/03/2024 21:10:42,31,31,31
15/03/2024 21:10:44,30,31,31
15/03/2024 21:10:45,30,30,30
15/03/2024 21:10:47,30,30,31
15/03/2024 21:10:49,30,30,30
15/03/2024 21:10:50,31,31,30
15/03/2024 21:10:52,31,28,30
15/03/2024 21:10:55,29,31,31
15/03/2024 21:10:57,31,31,31
15/03/2024 21:10:59,30,31,31
15/03/2024 21:11:01,30,31,29
15/03/2024 21:11:02,31,31,31
15/03/2024 21:11:04,30,31,29
15/03/2024 21:11:06,29,31,30
15/03/2024 21:11:08,31,30,31
15/03/2024 21:11:09,31,31,31
15/03/2024 21:11:11,31,30,31
15/03/2024 21:11:13,30,31,31
15/03/2024 21:11:14,30,30,30
15/03/2024 21:11:16,30,31,30
15/03/2024 21:11:18,31,30,30
15/03/2024 21:11:20,32,28,30
15/03/2024 21:11:21,30,30,31
15/03/2024 21:11:23,31,30,30
15/03/2024 21:11:24,31,30,31
15/03/2024 21:11:26,30,31,30
15/03/2024 21:11:27,31,31,30
15/03/2024 21:11:28,31,31,29
15/03/2024 21:11:30,31,29,31
15/03/2024 21:11:31,31,30,31
15/03/2024 21:11:33,30,30,30
15/03/2024 21:11:35,30,30,31
15/03/2024 21:11:38,29,30,31
15/03/2024 21:11:40,30,28,31
15/03/2024 21:11:42,31,28,31
15/03/2024 21:11:45,30,30,29
15/03/2024 21:11:47,31,31,31
15/03/2024 21:11:49,29,31,30
15/03/2024 21:11:50,31,29,29
15/03/2024 21:11:51,31,31,31
15/03/2024 21:11:53,30,29,31
15/03/2024 21:11:54,29,31,31
15/03/2024 21:11:55,31,31,30
15/03/2024 21:11:57,31,30,31
15/03/2024 21:11:58,30,31,31
15/03/2024 21:11:59,31,30,31
15/03/2024 21:12:01,30,31,31
15/03/2024 21:12:02,31,31,31
15/03/2024 21:12:04,30,30,30
15/03/2024 21:12:06,31,31,30
15/03/2024 21:12:08,31,31,31
15/03/2024 21:12:10,31,30,31
15/03/2024 21:12:11,29,30,31
15/03/2024 21:12:13,31,30,31
15/03/2024 21:12:14,30,29,31
15/03/2024 21:12:16,31,31,30
15/03/2024 21:12:17,29,31,30
15/03/2024 21:12:18,30,31,31
15/03/2024 21:12:20,30,31,31
15/03/2024 21:12:21,31,31,31
15/03/2024 21:12:22,30,31,30
15/03/2024 21:12:24,31,30,28
15/03/2024 21:12:25,31,29,30
15/03/2024 21:12:26,31,29,30
15/03/2024 21:12:28,30,30,30
15/03/2024 21:12:29,31,30,31
15/03/2024 21:12:32,31,31,28
15/03/2024 21:12:35,29,31,30
15/03/2024 21:12:38,31,31,30
15/03/2024 21:12:40,31,31,30
15/03/2024 21:12:41,28,31,30
15/03/2024 21:12:43,31,31,29
15/03/2024 21:12:44,31,31,31
15/03/2024 21:12:46,30,30,31
15/03/2024 21:12:47,30,31,30
15/03/2024 21:12:49,29,30,30
15/03/2024 21:12:51,31,30,31
15/03/2024 21:12:52,29,30,30
15/03/2024 21:12:54,31,31,29
15/03/2024 21:12:55,30,30,31
15/03/2024 21:12:56,30,30,30
15/03/2024 21:12:58,30,30,30
15/03/2024 21:12:59,30,31,31
15/03/2024 21:13:01,30,31,31
15/03/2024 21:13:03,31,30,31
15/03/2024 21:13:04,31,30,31
15/03/2024 21:13:06,31,30,31
15/03/2024 21:13:07,31,30,30
15/03/2024 21:13:09,30,29,28
15/03/2024 21:13:10,31,31,29
15/03/2024 21:13:11,31,31,30
