date-time,RF1,RF2,RF3,RF4,ANN1,ANN2,ANN3,ANN4,ANN5,ANN6
14/03/2024 21:40:41,31,32,31,31,31,31,31,31,31,32
14/03/2024 21:40:46,30,31,29,31,31,31,31,31,31,31
14/03/2024 21:41:13,31,32,30,31,32,32,32,32,32,32
14/03/2024 21:41:19,28,29,28,28,29,30,30,30,31,30
14/03/2024 21:41:26,31,30,31,31,31,31,32,31,31,32
14/03/2024 21:41:32,29,29,30,30,32,32,32,32,31,32
14/03/2024 21:41:38,31,32,32,32,32,32,32,32,32,32
14/03/2024 21:45:51,31,30,29,31,31,31,31,31,31,31
14/03/2024 21:45:54,30,30,29,29,31,31,31,30,30,31
14/03/2024 21:45:56,31,31,30,31,31,30,30,31,29,30
14/03/2024 21:45:59,31,31,31,31,31,31,31,31,31,31
14/03/2024 21:46:02,30,30,29,30,31,31,31,31,31,31
14/03/2024 21:46:05,31,32,30,32,29,28,28,29,30,28
14/03/2024 21:46:08,29,29,28,29,28,28,29,28,29,29
14/03/2024 21:46:11,31,30,31,30,32,32,32,32,32,31
14/03/2024 21:46:14,29,30,29,30,31,31,31,31,31,31
14/03/2024 21:46:17,30,30,29,30,31,32,30,32,32,29
14/03/2024 21:46:21,31,32,30,30,31,31,29,31,30,30
14/03/2024 21:46:24,30,30,29,30,31,31,31,30,30,31
14/03/2024 21:46:28,31,31,32,32,31,31,31,31,32,31
14/03/2024 21:46:32,30,30,22,28,30,30,30,30,30,30
14/03/2024 21:46:36,31,32,30,30,31,31,31,32,32,30
14/03/2024 21:46:39,31,31,31,31,30,29,29,30,31,28
14/03/2024 21:46:42,31,31,31,32,31,32,32,32,30,32
14/03/2024 21:46:45,31,32,30,31,30,31,30,30,30,29
14/03/2024 21:46:48,29,29,29,29,30,30,30,30,30,30
14/03/2024 21:46:51,31,31,28,30,30,30,28,30,30,28
14/03/2024 21:49:51,32,32,32,31,32,32,32,32,30,32
14/03/2024 21:49:54,31,30,30,30,32,32,31,32,32,32
14/03/2024 21:49:57,29,30,29,30,31,31,31,31,31,31
14/03/2024 21:50:00,30,30,29,29,31,31,31,31,30,31
14/03/2024 21:50:03,32,32,32,31,31,31,31,31,31,31
14/03/2024 21:50:06,32,31,32,32,32,30,31,31,29,31
14/03/2024 21:50:08,30,31,29,28,30,30,30,30,30,30
14/03/2024 21:50:11,30,30,31,30,29,30,31,29,29,29
14/03/2024 21:50:13,31,32,31,31,32,32,32,32,32,32
14/03/2024 21:50:16,29,30,27,28,30,30,29,30,28,31
14/03/2024 21:50:18,31,31,31,31,30,31,31,32,32,31
14/03/2024 21:50:22,30,30,30,31,31,31,31,31,31,31
14/03/2024 21:50:24,28,27,28,27,31,31,31,31,31,30
14/03/2024 21:50:27,32,31,32,30,31,31,31,31,32,31
14/03/2024 21:50:30,31,32,31,32,31,31,31,31,31,31
14/03/2024 21:50:33,31,31,31,30,30,31,30,31,31,31
14/03/2024 21:50:35,31,29,31,31,30,30,29,29,30,29
14/03/2024 21:50:38,32,32,32,32,32,32,31,32,30,32
14/03/2024 21:50:40,29,30,29,30,31,30,31,30,30,31
14/03/2024 21:50:43,30,30,28,30,30,30,30,30,30,30
14/03/2024 21:50:46,31,32,31,31,32,30,31,31,31,31
14/03/2024 21:50:48,31,31,31,31,31,29,31,31,30,31
14/03/2024 21:50:51,32,32,32,32,32,31,32,32,32,31
14/03/2024 21:50:54,32,31,32,32,32,32,32,32,31,32
14/03/2024 21:50:56,31,31,32,32,31,31,31,31,31,31
14/03/2024 21:50:59,29,27,28,29,32,30,32,32,30,32
14/03/2024 21:51:01,30,29,31,31,29,29,29,29,28,29
14/03/2024 21:51:04,29,29,29,29,29,29,28,29,29,29
14/03/2024 21:51:07,29,29,28,28,28,29,27,29,28,31
14/03/2024 21:51:09,30,31,31,32,31,30,30,31,32,30
14/03/2024 21:51:12,31,30,30,31,32,32,32,31,31,30
14/03/2024 21:51:15,31,31,31,31,31,31,30,31,32,31
14/03/2024 21:51:17,30,30,30,30,31,30,31,30,31,31
14/03/2024 21:51:20,32,32,31,31,30,28,29,30,31,29
14/03/2024 21:51:22,31,31,31,31,31,31,31,31,31,31
14/03/2024 21:51:25,31,30,30,30,32,32,32,32,32,32
14/03/2024 21:51:28,31,31,31,31,29,29,31,31,30,30
14/03/2024 21:51:30,31,31,31,31,32,32,32,32,32,31
14/03/2024 21:51:33,30,30,29,29,29,30,29,29,30,29
14/03/2024 21:51:35,32,32,32,32,32,32,32,32,32,32
14/03/2024 21:51:38,30,31,32,31,31,31,30,31,31,32
14/03/2024 21:51:41,31,30,31,31,32,32,32,32,32,31
14/03/2024 21:51:43,30,29,29,29,27,28,28,28,28,27
14/03/2024 21:51:46,30,31,31,30,32,31,32,32,31,32
14/03/2024 21:51:49,30,29,30,30,30,29,29,29,30,29
14/03/2024 21:51:51,28,29,22,31,31,31,31,31,31,31
14/03/2024 21:51:54,30,29,28,30,30,29,31,31,31,29
14/03/2024 21:51:57,32,32,30,32,32,32,32,32,32,31
14/03/2024 21:51:59,31,31,31,31,31,30,31,31,31,31
14/03/2024 21:52:02,31,31,31,31,31,32,31,32,31,30
14/03/2024 22:03:00,32,32,32,32,32,32,32,32,32,32
14/03/2024 22:03:02,32,32,31,32,31,32,32,31,31,32
14/03/2024 22:03:05,31,31,30,31,32,32,32,31,32,32
14/03/2024 22:03:08,30,30,30,30,31,31,31,31,31,31
14/03/2024 22:03:10,30,30,29,29,28,28,28,29,29,28
14/03/2024 22:03:13,30,29,29,30,31,31,31,31,31,31
14/03/2024 22:03:15,32,32,32,32,28,28,29,28,30,30
14/03/2024 22:03:18,31,31,32,31,32,32,31,32,31,30
14/03/2024 22:03:22,31,30,30,31,31,30,30,31,31,29
14/03/2024 22:03:26,32,32,32,31,31,31,31,31,31,32
14/03/2024 22:03:31,30,30,29,30,30,30,28,29,30,31
14/03/2024 22:03:36,31,30,29,31,29,29,29,29,31,29
14/03/2024 22:03:43,31,31,31,30,30,31,29,31,31,31
14/03/2024 22:03:48,30,31,30,30,31,32,31,31,32,31
14/03/2024 22:03:53,31,31,29,31,30,30,30,32,29,30
14/03/2024 22:03:57,29,29,29,30,30,30,30,29,30,30
14/03/2024 22:04:02,31,30,31,30,29,30,30,30,29,29
14/03/2024 22:04:05,30,30,30,30,30,28,28,29,29,30
14/03/2024 22:04:07,31,30,30,29,31,31,30,30,31,30
14/03/2024 22:04:10,31,32,31,31,31,31,31,31,32,31
14/03/2024 22:04:13,27,30,26,28,31,31,30,31,31,27
14/03/2024 22:04:17,32,30,31,31,31,32,31,31,32,31
14/03/2024 22:04:20,31,31,31,31,31,31,31,31,30,31
14/03/2024 22:04:22,28,30,28,29,31,31,31,31,31,31
14/03/2024 22:04:25,31,30,31,29,32,32,32,32,32,32
14/03/2024 22:04:27,30,28,28,30,29,29,29,29,30,29
14/03/2024 22:04:30,29,29,30,30,31,31,30,31,30,30
14/03/2024 22:04:33,32,31,31,32,31,31,31,32,31,31
14/03/2024 22:04:36,32,32,32,32,31,31,32,31,31,32
14/03/2024 22:04:38,31,31,31,31,30,31,30,30,31,31
14/03/2024 22:04:41,32,32,32,32,32,31,32,32,31,32
14/03/2024 22:04:44,30,30,30,30,31,31,31,30,31,31
14/03/2024 22:04:46,31,31,31,30,32,32,32,32,32,32
14/03/2024 22:04:49,30,29,30,29,31,32,31,32,31,32
14/03/2024 22:04:51,32,32,31,32,31,31,32,32,32,31
14/03/2024 22:04:54,30,28,24,28,32,30,31,32,31,32
14/03/2024 22:04:57,31,32,29,31,32,32,32,32,32,32
14/03/2024 22:05:00,30,31,30,30,32,32,32,31,31,32
14/03/2024 22:05:02,32,31,32,32,31,31,32,31,31,32
14/03/2024 22:05:05,31,30,30,31,30,30,30,31,31,30
14/03/2024 22:05:08,30,30,30,30,31,31,31,31,31,29
14/03/2024 22:05:11,30,30,28,30,30,30,30,30,31,30
14/03/2024 22:05:14,30,31,30,30,31,31,30,31,30,31
14/03/2024 22:05:17,30,29,28,29,30,30,30,30,31,31
14/03/2024 22:05:20,29,31,31,30,31,30,29,31,30,29
14/03/2024 22:05:24,32,30,30,29,31,32,31,32,32,32
14/03/2024 22:05:27,31,32,31,31,32,32,32,32,32,32
14/03/2024 22:05:31,29,30,27,28,32,32,32,32,32,32
14/03/2024 22:05:35,29,31,28,29,30,30,31,31,30,31
14/03/2024 22:05:37,31,30,30,31,30,31,31,31,31,30
14/03/2024 22:05:40,30,30,29,30,30,31,31,31,31,31
14/03/2024 22:05:43,29,30,29,30,30,30,29,30,30,29
14/03/2024 22:05:46,32,32,32,31,32,32,31,31,31,31
14/03/2024 22:05:50,32,32,30,32,31,31,31,31,31,31
14/03/2024 22:05:54,32,32,32,32,31,32,29,32,30,31
14/03/2024 22:05:58,31,31,31,31,32,32,32,32,32,32
14/03/2024 22:06:01,32,32,32,32,32,32,32,32,31,32
14/03/2024 22:06:04,31,29,29,29,30,30,30,28,30,30
14/03/2024 22:06:08,31,30,29,31,30,31,30,30,30,31
14/03/2024 22:06:11,31,31,31,31,32,32,31,32,31,32
14/03/2024 22:06:15,31,32,32,32,31,32,32,32,32,32
14/03/2024 22:06:18,31,31,31,31,32,31,32,31,30,32
14/03/2024 22:06:21,31,32,31,32,31,31,31,31,31,31
14/03/2024 22:06:23,27,30,26,29,32,32,31,32,31,31
14/03/2024 22:06:26,32,32,31,31,30,29,29,29,30,30
14/03/2024 22:06:29,30,31,31,31,30,30,30,31,30,30
14/03/2024 22:06:31,31,31,28,29,30,30,31,30,29,30
14/03/2024 22:06:34,31,31,32,32,30,28,28,28,28,28
14/03/2024 22:06:37,29,29,29,29,32,32,32,31,31,32
14/03/2024 22:06:40,30,31,31,30,32,32,32,32,32,32
14/03/2024 22:06:43,30,30,30,30,31,30,31,30,30,31
14/03/2024 22:06:46,31,32,31,30,30,30,31,32,30,30
14/03/2024 22:06:50,31,31,29,31,32,31,32,32,30,32
14/03/2024 22:17:05,30,31,30,31,30,31,30,30,31,30
14/03/2024 22:17:08,31,31,30,30,31,31,31,31,30,31
14/03/2024 22:17:10,31,31,31,31,31,31,31,31,31,31
14/03/2024 22:17:13,32,32,31,31,31,32,32,32,31,32
14/03/2024 22:17:16,32,30,30,32,32,30,32,29,30,31
14/03/2024 22:17:19,30,29,30,30,30,30,30,30,31,31
14/03/2024 22:17:22,31,31,31,32,32,32,32,32,32,32
14/03/2024 22:17:25,31,31,31,31,30,31,31,31,31,30
14/03/2024 22:17:29,31,31,30,31,31,31,31,31,31,31
14/03/2024 22:17:31,29,28,30,30,32,32,31,31,31,30
14/03/2024 22:17:34,30,30,31,31,31,31,31,31,31,31
14/03/2024 22:17:37,28,29,29,29,29,29,29,29,29,29
14/03/2024 22:17:40,30,31,30,30,32,31,32,32,31,32
14/03/2024 22:17:42,30,30,29,30,28,30,28,29,28,30
14/03/2024 22:17:45,30,30,28,29,30,30,29,30,30,30
14/03/2024 22:17:48,29,30,23,29,31,31,31,31,31,31
14/03/2024 22:17:50,30,30,31,31,29,28,31,30,29,29
14/03/2024 22:17:53,31,30,29,29,31,31,29,30,30,29
14/03/2024 22:17:56,31,29,31,30,31,29,31,30,30,30
14/03/2024 22:17:59,30,29,28,30,30,30,30,30,31,30
14/03/2024 22:18:01,28,27,29,28,28,29,28,29,28,28
14/03/2024 22:18:04,32,32,31,32,31,31,29,30,31,30
14/03/2024 22:18:07,30,30,30,30,30,31,30,30,31,31
14/03/2024 22:18:09,30,30,29,30,32,30,31,30,30,31
14/03/2024 22:18:13,32,31,32,32,31,31,31,31,31,31
14/03/2024 22:18:16,31,31,31,30,31,31,31,29,31,29
14/03/2024 22:18:19,31,31,31,31,32,32,31,32,31,31
14/03/2024 22:18:22,32,32,32,32,32,31,32,31,32,31
14/03/2024 22:18:24,31,31,31,31,32,32,32,32,31,32
14/03/2024 22:18:27,30,29,29,30,29,28,28,29,29,28
14/03/2024 22:18:30,30,30,30,29,32,31,32,31,32,32
14/03/2024 22:18:32,32,32,32,32,31,32,31,32,31,32
14/03/2024 22:18:36,30,30,28,30,31,31,31,31,31,29
14/03/2024 22:18:40,31,31,31,31,31,31,30,31,32,31
14/03/2024 22:18:43,29,30,29,29,30,30,30,30,30,30
14/03/2024 22:18:46,29,30,30,29,30,31,28,31,31,29
14/03/2024 22:18:48,29,26,27,29,29,28,28,29,29,28
14/03/2024 22:18:51,31,29,31,31,31,29,30,31,31,30
14/03/2024 22:18:54,30,30,30,31,32,32,31,32,32,32
14/03/2024 22:18:56,31,31,31,31,31,31,31,31,31,31
14/03/2024 22:18:59,30,30,30,30,30,31,29,31,30,31
14/03/2024 22:19:01,30,31,29,30,29,30,29,30,29,30
14/03/2024 22:19:04,30,30,30,30,31,31,31,31,31,31
14/03/2024 22:19:08,31,31,31,30,29,29,29,29,30,28
14/03/2024 22:19:10,32,32,32,32,31,32,31,32,32,32
14/03/2024 22:19:13,32,31,31,31,32,32,32,32,32,32
